normalized_key,texto_normalizado,total_variants,total_rows,variants
atos administrativos,Atos administrativos,2,2,Ato administrativo conceito requisitos e atributos | Atos administrativos
informatica basica,Informatica basica,1,1,Conceitos basicos de informatica
interpretacao de texto,Interpretacao de texto,2,2,Compreensao e interpretacao textual | Interpretacao de textos
principios da administracao publica,Principios da administracao publica,1,1,Principios da administracao publica
raciocinio logico,Raciocinio logico,1,1,Problemas de raciocinio logico
